Precinct,RegVoters,Early,Eday,Tot,County,EarlyTO,EdayTO,TotTO,EarlyColor,EdayColor,TotColor,Key,MergeField,PrecinctName,LivePrecinctName,City_Twp
FAIR10WD3,690,13,24,37,Butler, 1.88%, 3.48%, 5.36%,#FFFFAA,#FFFFAA,#FFFF7F,Butler&FAIR10WD3,BUTLERABC,FAIR10WD3,FAIR10WD3,Fairfield
FAIR10WD4,715,8,53,61,Butler, 1.12%, 7.41%, 8.53%,#FFFFAA,#FFFFFF,#FFFFAA,Butler&FAIR10WD4,BUTLERABD,FAIR10WD4,FAIR10WD4,Fairfield
FAIR11WD3,752,37,89,126,Butler, 4.92%,11.84%,16.76%,#FFFFFF,#AAD4AA,#AAD4AA,Butler&FAIR11WD3,BUTLERAAC,FAIR11WD3,FAIR11WD3,Fairfield
FAIR1WD1,438,22,10,32,Butler, 5.02%, 2.28%, 7.31%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR1WD1,BUTLERALD,FAIR1WD1,FAIR1WD1,Fairfield
FAIR1WD2,779,31,38,69,Butler, 3.98%, 4.88%, 8.86%,#FFFFD4,#FFFFD4,#FFFFAA,Butler&FAIR1WD2,BUTLERAAL,FAIR1WD2,FAIR1WD2,Fairfield
FAIR1WD3,628,24,38,62,Butler, 3.82%, 6.05%, 9.87%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR1WD3,BUTLERAAT,FAIR1WD3,FAIR1WD3,Fairfield
FAIR1WD4,590,23,38,61,Butler,  3.9%, 6.44%,10.34%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR1WD4,BUTLERALF,FAIR1WD4,FAIR1WD4,Fairfield
FAIR2WD1,1062,48,36,84,Butler, 4.52%, 3.39%, 7.91%,#FFFFFF,#FFFFAA,#FFFFAA,Butler&FAIR2WD1,BUTLERAAB,FAIR2WD1,FAIR2WD1,Fairfield
FAIR2WD2,680,26,38,64,Butler, 3.82%, 5.59%, 9.41%,#FFFFD4,#FFFFD4,#FFFFD4,Butler&FAIR2WD2,BUTLERAAM,FAIR2WD2,FAIR2WD2,Fairfield
FAIR2WD3,821,14,30,44,Butler, 1.71%, 3.65%, 5.36%,#FFFFAA,#FFFFAA,#FFFF7F,Butler&FAIR2WD3,BUTLERAAU,FAIR2WD3,FAIR2WD3,Fairfield
FAIR2WD4,1064,26,76,102,Butler, 2.44%, 7.14%, 9.59%,#FFFFD4,#FFFFFF,#FFFFD4,Butler&FAIR2WD4,BUTLERABH,FAIR2WD4,FAIR2WD4,Fairfield
FAIR3WD1,828,19,10,29,Butler, 2.29%, 1.21%,  3.5%,#FFFFD4,#FFFF7F,#FFFF55,Butler&FAIR3WD1,BUTLERAAK,FAIR3WD1,FAIR3WD1,Fairfield
